problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
minimal,22,20,,0.36,1.57,0.38,1.95,1.989,0.36,8.31,1.81,10.12,10.268,0.37,12.49,1.81,14.30,14.466,0.37,12.51,1.81,14.32,14.486,0.05,9.27,9.319,0.07,7.88,7.918,,,,,,10.05,1.02,11.07,11.851,
minimal,23,20,,0.41,1.76,0.44,2.20,2.244,0.41,9.80,2.05,11.85,12.004,,,,,,,,,,,0.06,11.34,11.380,0.07,9.85,9.905,,,,,,13.32,1.18,14.5,15.318,
minimal,24,20,,0.47,1.93,0.5,2.43,2.471,0.47,10.89,2.27,13.16,13.330,,,,,,,,,,,0.06,12.34,12.390,0.08,10.44,10.493,,,,,,13.98,1.31,15.29,16.175,
minimal,25,20,,0.53,2.19,0.56,2.75,2.805,,,,,,,,,,,,,,,,0.07,14.69,14.738,0.08,12.62,12.669,,,,,,17.44,1.49,18.93,19.880,
minimal,26,20,,0.60,2.42,0.62,3.04,3.091,,,,,,,,,,,,,,,,0.07,15.96,16.008,0.09,13.85,13.903,,,,,,19.2,1.66,20.86,21.866,
minimal,27,20,,0.67,2.66,0.69,3.35,3.404,,,,,,,,,,,,,,,,0.08,18.65,18.708,0.09,16.05,16.111,,,,,,21.34,1.86,23.2,24.202,
minimal,28,20,,0.74,2.83,0.77,3.60,3.662,,,,,,,,,,,,,,,,0.09,20.15,20.201,0.10,17.19,17.262,,,,,,24.11,2.06,26.17,27.234,
minimal,29,20,,0.83,3.19,0.86,4.05,4.158,,,,,,,,,,,,,,,,0.09,23.18,23.240,0.10,19.50,19.556,,,,,,28.5,2.28,30.78,31.869,
minimal,30,20,,0.92,3.35,0.94,4.29,4.372,,,,,,,,,,,,,,,,0.10,24.96,25.018,0.10,21.34,21.402,,,,,,30.03,2.5,32.53,33.768,
minimal,31,20,,1.01,3.77,1.04,4.81,4.886,,,,,,,,,,,,,,,,0.10,28.20,28.270,0.11,23.74,23.794,,,,,,35.6,2.78,38.38,39.664,
minimal,32,20,,1.11,3.88,1.14,5.02,5.093,,,,,,,,,,,,,,,,0.11,30.28,30.341,0.11,25.73,25.807,,,,,,37.39,3.03,40.42,41.679,
minimal,33,20,,1.21,4.34,1.25,5.59,5.672,,,,,,,,,,,,,,,,0.12,33.97,34.060,0.12,28.47,28.518,,,,,,45.01,3.34,48.35,49.687,
minimal,34,20,,1.32,4.46,1.36,5.82,5.969,,,,,,,,,,,,,,,,0.13,36.30,36.361,0.12,30.31,30.379,,,,,,46.65,3.61,50.26,51.579,
minimal,35,20,,1.44,4.94,1.48,6.42,6.576,,,,,,,,,,,,,,,,0.14,40.25,40.308,0.12,34.66,34.719,,,,,,53.73,3.98,57.71,59.092,
minimal,36,20,,1.56,5.09,1.61,6.70,6.807,,,,,,,,,,,,,,,,0.14,42.86,42.938,0.13,36.49,36.558,,,,,,49.42,4.3,53.72,55.143,
